"date" "Temp.min" "Temp.max" "Duree.ensoleil" "Hauteur.precip" "10h" "13h" "16h"
"01-01-2015" "-1.1" "6.9" "5" "0.4" "   Ensoleillé     " "   Eclaircies     " "   Très nuageux   "
"02-01-2015" "2.7" "10.7" "3" "0.0" NA "   Eclaircies     " "   Ensoleillé   "
"03-01-2015" "0.9" "11.0" "0" "10.9" "   Pluie et neige      " "   Bruine     " "   Bruine   "
"04-01-2015" "-0.3" "6.0" "6" "0.0" "   Ensoleillé     " "   Ensoleillé     " "   Ensoleillé   "
"05-01-2015" "-1.6" "3.8" "2" "0.0" NA "   Eclaircies     " "   Très nuageux   "
"06-01-2015" "-1.7" "3.8" "0" "0.0" NA NA NA
"07-01-2015" "-1.0" "6.7" "5" "1.2" "   Ensoleillé     " "   Eclaircies     " "   Très nuageux   "
"08-01-2015" "2.6" "9.6" "0" "12.5" "   Bruine     " "" NA
"09-01-2015" "5.2" "14.5" "0" "0.2" "   Bruine     " "   Très nuageux     " "   Très nuageux   "
"10-01-2015" "8.4" "12.8" "0" "0.8" "   Très nuageux     " "" NA
"11-01-2015" "2.9" "7.8" "5" "2.4" "   Ensoleillé     " "   Eclaircies     " "   Très nuageux   "
"12-01-2015" "6.5" "10.3" "0" "0.0" "   Très nuageux     " "   Très nuageux     " "   Très nuageux   "
"13-01-2015" "8.2" "10.4" "0" "6.8" "   Bruine      " NA "   Eclaircies   "
"14-01-2015" "2.7" "9.7" "3" "7.4" "   Bruine      " NA "   Ensoleillé   "
"15-01-2015" "4.9" "10.6" "0" "2.6" "   Bruine     " "   Bruine     " "   Très nuageux   "
"16-01-2015" "3.1" "8.3" "4" "0.0" "   Eclaircies     " "   Ensoleillé     " "   Eclaircies   "
"17-01-2015" "-2.6" "5.8" "7" "0.4" "   Ensoleillé     " "   Ensoleillé     " "   Eclaircies   "
"18-01-2015" "2.4" "3.9" "0" "14.1" "   Bruine     " "   Bruine     " "   Bruine   "
"19-01-2015" "0.2" "4.9" "1" "0.2" NA "   Très nuageux     " "   Eclaircies   "
"20-01-2015" "-1.8" "4.6" "6" "0.0" "   Eclaircies     " "   Eclaircies     " "   Eclaircies   "
"21-01-2015" "-1.2" "3.0" "3" "0.0" "   Très nuageux     " "   Très nuageux     " "   Eclaircies   "
"22-01-2015" "-2.3" "-0.1" "2" "0.0" NA NA NA
"23-01-2015" "-1.4" "3.5" "4" "7.1" NA "   Ensoleillé     " "   Ensoleillé   "
"24-01-2015" "-3.2" "6.4" "2" "0.6" "   Eclaircies     " "   Eclaircies     " "   Eclaircies   "
"25-01-2015" "-0.6" "7.1" "0" "0.4" "   Très nuageux     " "   Très nuageux     " "   Très nuageux   "
"26-01-2015" "4.6" "9.4" "0" "1.0" "   Bruine     " "" NA
"27-01-2015" "0.9" "6.6" "0" "0.2" "   Très nuageux     " "   Bruine     " "   Très nuageux   "
"28-01-2015" "4.5" "8.5" "0" "2.6" "   Très nuageux      " NA "   Pluies éparses   "
"29-01-2015" "1.1" "4.2" "1" "2.4" "   Eclaircies     " "   Très nuageux     " "   Eclaircies   "
"30-01-2015" "0.3" "4.2" "1" "2.8" "   Neige     " "   Très nuageux     " "   Très nuageux   "
"31-01-2015" "-2.0" "3.8" "3" "3.4" "   Eclaircies     " "" NA
"01-02-2015" "1.4" "4.5" "0" "15.2" NA "   Très nuageux     " "   Bruine   "
"02-02-2015" "-0.8" "3.7" "6" "0.0" "   Ensoleillé     " "   Eclaircies     " "   Eclaircies   "
"03-02-2015" "-2.4" "4.5" "6" "0.2" "   Très nuageux     " "   Eclaircies     " "   Eclaircies   "
"04-02-2015" "-0.5" "5.9" "7" "0.4" "   Ensoleillé     " "   Ensoleillé     " "   Eclaircies   "
"05-02-2015" "-3.5" "2.4" "3" "0.0" NA "   Eclaircies     " "   Eclaircies   "
"06-02-2015" "-1.8" "2.0" "5" "0.0" "   Très nuageux     " "   Eclaircies     " "   Ensoleillé   "
"07-02-2015" "-2.1" "5.5" "6" "0.2" "   Ensoleillé     " "   Eclaircies     " "   Très nuageux   "
"08-02-2015" "3.9" "7.3" "2" "0.2" "   Eclaircies      " NA "   Eclaircies   "
"09-02-2015" "-1.1" "5.2" "0" "0.0" NA "   Très nuageux     " "   Très nuageux   "
"10-02-2015" "3.1" "6.0" "0" "0.0" "   Très nuageux     " "   Très nuageux     " "   Très nuageux   "
"11-02-2015" "3.2" "4.1" "0" "0.0" "   Très nuageux     " "   Très nuageux     " "   Très nuageux   "
"12-02-2015" "0.7" "5.8" "2" "0.0" NA NA "   Eclaircies   "
"13-02-2015" "0.0" "10.6" "6" "2.2" "   Ensoleillé     " "   Ensoleillé     " "   Eclaircies   "
"14-02-2015" "6.2" "9.7" "1" "0.8" "   Très nuageux     " "   Très nuageux     " "   Eclaircies   "
"15-02-2015" "2.7" "10.3" "8" "0.0" "   Eclaircies     " "   Eclaircies     " "   Eclaircies   "
"16-02-2015" "-1.3" "4.4" "0" "1.2" "   Bancs de brouillard     " NA NA
"17-02-2015" "2.8" "8.7" "2" "1.2" "   Bruine     " "   Très nuageux     " "   Eclaircies   "
"18-02-2015" "-3.5" "3.7" "1" "0.0" "   Brouillard givrant     " "" NA
"19-02-2015" "0.4" "5.6" "1" "1.8" NA "   Eclaircies     " "   Eclaircies   "
